evaluation,model,noise,snr,consonant,crr
0,0,5,0,0,97
0,0,5,1,0,93
0,0,5,2,0,87.125
0,0,5,3,0,68
0,0,5,4,0,49.125
0,0,5,0,1,98.5
0,0,5,1,1,96
0,0,5,2,1,86.375
0,0,5,3,1,65.875
0,0,5,4,1,42.25
0,0,5,0,2,97.75
0,0,5,1,2,80.25
0,0,5,2,2,35.25
0,0,5,3,2,8.875
0,0,5,4,2,4.25
0,0,5,0,3,98.375
0,0,5,1,3,98.875
0,0,5,2,3,93.75
0,0,5,3,3,46.875
0,0,5,4,3,21.75
0,0,5,0,4,93.5
0,0,5,1,4,79.375
0,0,5,2,4,48.625
0,0,5,3,4,21.25
0,0,5,4,4,11.375
0,0,5,0,5,98.625
0,0,5,1,5,94.375
0,0,5,2,5,74.75
0,0,5,3,5,35.125
0,0,5,4,5,13.625
1,3,5,0,0,91.25
1,3,5,1,0,82.5
1,3,5,2,0,65
1,3,5,3,0,42.5
1,3,5,4,0,32.5
1,3,5,0,1,91.25
1,3,5,1,1,81.25
1,3,5,2,1,75
1,3,5,3,1,68.75
1,3,5,4,1,48.75
1,3,5,0,2,93.75
1,3,5,1,2,67.5
1,3,5,2,2,40
1,3,5,3,2,25
1,3,5,4,2,13.75
1,3,5,0,3,100
1,3,5,1,3,91.25
1,3,5,2,3,93.75
1,3,5,3,3,47.5
1,3,5,4,3,31.25
1,3,5,0,4,96.25
1,3,5,1,4,61.25
1,3,5,2,4,57.5
1,3,5,3,4,46.25
1,3,5,4,4,37.5
1,3,5,0,5,93.75
1,3,5,1,5,78.75
1,3,5,2,5,68.75
1,3,5,3,5,38.75
1,3,5,4,5,32.5
0,0,1,0,0,98
0,0,1,1,0,97.75
0,0,1,2,0,92.5
0,0,1,3,0,71
0,0,1,4,0,45
0,0,1,0,1,99
0,0,1,1,1,96
0,0,1,2,1,89.25
0,0,1,3,1,53.5
0,0,1,4,1,26.5
0,0,1,0,2,97.75
0,0,1,1,2,97.5
0,0,1,2,2,85.75
0,0,1,3,2,52
0,0,1,4,2,26.5
0,0,1,0,3,99.25
0,0,1,1,3,99
0,0,1,2,3,97.75
0,0,1,3,3,95.5
0,0,1,4,3,84
0,0,1,0,4,97.25
0,0,1,1,4,93.75
0,0,1,2,4,81.25
0,0,1,3,4,42.5
0,0,1,4,4,9
0,0,1,0,5,98.25
0,0,1,1,5,97.5
0,0,1,2,5,91
0,0,1,3,5,52
0,0,1,4,5,31.25
1,3,1,0,0,91.25
1,3,1,1,0,88.75
